Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Netweb Technol.,543945,NETWEB,Computers - Hardware,2839.40,16004.79,55.83,165.29,71.39,0.00,-3.65,8.44,0.02,38.43,29.32,96.83,46.94,3.62,-1.27,138.45,17.20,4.56,2.74,13.47,9.22,2.70,-2.62,23.18,,,1.74,919.67,109.54,95.08,,,30.54,11.25,,,408.68,43.82,17.22,,-0.20,13.87,13.48,3.39,,75.20,71.80,41.02,,,40.30,84.65,81.49,40.27,25.72,15.44
Network People,,NPST,Computers - Software - Medium / Small,2546.95,4937.52,44.25,98.10,67.55,0.00,0.00,0.11,0.00,83.46,63.69,50.33,6.52,-5.25,-13.62,209.51,25.96,17.42,8.54,13.78,3.36,5.24,160.64,25.78,,,1.19,200.72,194.05,82.67,,,0.38,0.00,,,85.49,0.66,0.87,,40.68,17.83,45.27,45.34,43.87,1.94,102.59,47.96,,,39.94,218.34,139.04,42.83,33.77,16.56
Nidhi Granites,512103,,Miscellaneous,215.10,172.08,33.51,72.00,66.75,0.00,0.00,3.90,0.26,9.44,6.19,2.39,0.44,-4.65,-2.49,244.16,2.99,1.37,0.94,0.85,0.83,0.07,22.72,,,,,43.42,114.41,,,,0.00,,,,13.32,2.12,,,-2.55,-2.84,-5.70,,,85.98,538.74,,,,,696.67,48.50,6.60,1.10,0.75
Nila Spaces,542231,NILASPACES,Construction,17.92,705.85,35.07,35.20,61.90,0.00,0.00,20.92,0.16,17.09,11.10,20.05,-4.06,2.34,13.27,262.02,0.51,0.09,0.06,0.34,-0.10,0.00,96.94,35.95,,,0.98,153.73,96.94,35.95,9.11,,9.60,76.63,67.13,,127.15,97.37,153.07,184.83,2.54,13.26,-4.34,59.58,60.26,0.00,26.21,57.10,17.95,,1.33,540.66,8881.19,2.54,3.68,2.56
Nippon Life Ind.,540767,NAM-INDIA,Finance & Investments,758.25,48053.16,23.67,36.41,72.49,0.00,-0.17,0.00,0.00,36.24,29.54,1319.62,723.33,3.69,7.23,57.80,20.92,5.69,5.26,17.58,11.61,3.91,16.78,17.22,-34.75,-22.86,2.03,1967.85,17.63,17.90,15.58,15.09,0.00,0.00,30.00,0.00,236.08,287.67,653.64,526.57,766.81,573.95,1913.54,2950.83,3689.33,0.00,12.79,4.33,5.12,10.15,22.99,49.39,35.36,24.44,360.10,332.33
Niraj Ispat Ind.,,NIRAJISPAT,Plastics Products,245.18,14.71,36.11,14.56,74.43,0.00,-0.15,2.11,0.16,8.01,6.45,1.01,1.67,0.00,3.72,,16.83,5.83,4.67,13.50,27.83,3.83,32.27,4.18,-4.40,,3.48,3.26,32.27,4.18,-4.40,,3.07,6.31,6.07,,14.25,10.88,12.72,10.05,-0.87,-0.73,-0.39,1.97,1.42,52.45,-2.89,-11.37,-10.43,,7.78,-15.13,-20.87,9.50,0.35,0.28
Oceanic Foods,540405,,Food - Processing - Indian,49.90,56.14,36.45,14.58,74.07,0.00,0.00,29.05,0.81,10.32,7.78,3.85,3.02,4.05,1.84,,3.42,1.09,0.88,2.25,2.68,0.43,4.77,0.73,3.41,12.96,22.78,131.64,4.77,0.64,3.34,35.88,14.43,20.22,16.75,19.95,48.12,27.39,27.40,22.44,-10.63,15.13,8.17,17.72,16.07,78.62,1.05,6.95,4.94,4.38,9.71,78.24,57.37,9.07,1.23,0.99
Olatech Solution,543578,,Computers - Software - Medium / Small,477.80,212.65,44.25,42.28,62.72,0.00,-3.13,1.03,0.10,68.21,51.36,5.03,1.19,0.00,11.64,261.01,11.62,7.60,4.02,6.98,2.77,2.98,,,,,,20.02,193.05,,,,0.00,,,,8.07,0.60,,,-0.38,0.00,-0.46,-0.08,,13.26,40.47,,,,,185.80,68.09,44.06,3.29,1.74
OneClick Logisti,,OLIL,Miscellaneous,107.00,38.56,28.90,24.10,67.17,0.00,0.00,1.29,0.10,10.63,9.00,1.60,0.19,-4.08,8.41,52.10,4.44,3.19,1.25,1.83,190.00,0.77,,,,,,35.23,,,,,,,,,9.02,,,,-6.82,-0.17,,,,0.00,,,,,,310.26,92.51,,1.15,0.45
Onesource Indus.,530805,,Trading,12.96,39.85,36.80,61.31,65.00,0.00,0.00,0.06,0.02,1.20,1.39,0.65,0.14,5.28,40.87,102.50,0.21,0.17,0.04,0.01,0.05,0.00,-32.49,27.23,10.99,,2.25,27.23,-32.49,27.23,16.99,7.27,0.00,0.00,0.00,0.00,2.02,0.12,0.83,0.00,-0.47,-2.74,-4.10,-4.47,-4.48,97.83,176.90,99.81,87.93,13.28,-11.30,306.25,11245.83,2.15,0.52,0.11
Orbit Exports,512626,ORBTEXP,Textiles - Processing,225.32,596.36,29.50,16.19,66.16,0.00,0.00,24.10,0.09,18.52,15.14,36.83,34.38,-2.46,17.48,23.43,13.88,6.05,3.71,12.89,12.75,3.81,110.29,7.05,8.43,5.81,2.88,202.08,107.81,5.62,7.15,5.32,21.05,9.80,17.31,44.65,92.08,68.30,79.97,60.25,38.54,30.48,56.48,75.57,109.34,34.17,42.98,7.62,5.85,4.16,12.22,3.69,0.35,14.12,16.00,9.81
Oricon Enterpris,513121,ORICONENT,Packaging,40.03,628.66,28.39,,66.97,0.00,0.00,17.41,0.01,-1.31,1.32,150.38,14.85,2.64,0.91,4.38,9.58,8.19,0.47,1.91,0.95,0.45,67.55,-16.68,-10.41,-7.84,,170.13,67.55,-16.68,-10.41,-3.82,231.64,491.31,675.49,208.98,382.32,284.86,396.52,484.80,-39.65,-56.25,-114.07,80.68,247.27,69.60,-30.56,-33.44,-25.68,-16.50,0.24,72.29,-45.24,-0.14,128.60,7.41
Oriental Aromat.,500078,OAL,Chemicals,438.00,1474.03,35.13,36.08,74.17,0.00,0.00,216.55,0.33,4.21,1.51,40.86,20.62,5.94,-9.04,13.72,12.14,4.85,3.46,2.82,6.13,0.74,-54.81,-29.85,-19.10,-11.57,-1.21,866.42,-54.81,-29.85,-13.22,-7.12,77.86,183.41,99.69,118.90,453.03,394.05,349.38,198.84,115.91,-57.14,3.27,168.28,111.42,67.85,5.92,2.28,9.18,10.54,9.91,1873.91,6.01,4.61,16.31,11.64
Owais Metal,,OWAIS,Mining / Minerals / Metals,991.30,1802.42,20.44,53.96,73.01,0.00,0.00,40.78,0.46,52.14,44.91,33.40,-0.13,-6.13,-19.22,,18.37,13.60,4.77,8.51,-100.00,5.11,,,,,,154.98,,,,,,,,,94.13,,,,-40.53,-0.11,,,,64.57,,,,,,609.13,413.18,,24.72,8.68
P.E. Analytics,,PROPEQUITY,Miscellaneous,285.00,298.74,33.51,29.12,67.12,0.00,-1.89,0.00,0.00,17.91,13.20,10.26,8.97,5.56,-0.35,14.00,9.79,5.10,4.68,8.65,8.56,3.97,-83.76,-60.30,-43.12,,1.50,23.22,11.98,19.45,24.93,,0.00,0.00,0.00,,78.21,21.60,19.36,18.49,5.07,5.42,30.73,38.94,40.26,0.00,6.91,8.13,8.83,,17.67,20.00,10.84,16.19,5.35,4.91
Par Drugs & Che.,,PAR,Pharmaceuticals - Indian - Bulk Drugs,213.77,263.04,33.34,14.40,73.37,0.00,-0.84,0.00,0.00,25.00,18.48,18.27,11.33,6.04,-10.12,0.39,14.85,6.99,2.06,11.78,9.21,3.97,12.84,33.39,19.38,24.34,0.34,104.09,12.86,42.00,34.29,35.01,8.32,11.58,30.55,44.12,33.71,28.46,6.04,-0.51,14.18,5.95,24.55,42.67,48.11,35.33,16.33,15.60,10.10,13.37,17.69,44.09,8.16,17.46,8.60,2.53
Patanjali Foods,500368,PATANJALI,Solvent Extraction,1864.85,67506.61,39.34,67.86,69.76,0.00,-3.05,1116.70,0.10,11.14,7.63,994.73,886.44,6.65,-0.21,17.49,27.48,8.54,7.26,21.14,24.49,7.03,-2.77,55.63,14.26,52.40,1.17,31459.61,3.99,58.15,14.54,53.63,3659.94,7915.51,5208.37,2935.04,6592.93,2725.18,-2588.00,283.57,1648.67,-432.77,1906.32,2046.55,3163.56,84.93,24.80,20.04,7.99,2.67,,13.66,0.23,10.63,308.97,262.90
Paushak,532742,,Chemicals,4993.20,1538.96,35.13,27.29,66.97,0.00,0.00,0.00,0.00,16.54,12.63,56.40,54.01,0.97,-5.94,-16.35,182.99,46.07,33.45,176.34,175.24,43.25,10.36,9.36,34.53,18.96,2.92,214.96,10.36,9.36,33.76,18.49,0.00,0.00,0.04,0.01,138.17,23.92,39.22,18.67,17.36,27.93,41.07,41.98,59.98,21.73,13.52,8.13,16.15,14.33,13.98,11.55,1.00,13.51,14.20,10.31
PDS,538730,PDSL,Trading,606.55,8557.91,36.80,56.27,61.69,0.00,-4.04,1096.89,0.69,17.47,13.01,215.25,326.77,8.03,10.78,7.52,11.19,5.11,1.51,10.93,20.24,4.95,20.13,26.60,38.85,-33.76,2.09,11722.31,20.65,26.93,39.11,21.75,561.55,700.09,464.88,465.54,1627.78,642.51,747.10,704.73,22.97,450.61,836.47,1414.28,1462.40,79.65,18.63,9.85,12.26,10.90,20.10,-30.22,18.49,23.24,93.17,31.19
Pecos Hotels,539273,,Hotels,275.55,36.09,38.46,27.34,69.62,0.00,0.00,0.00,0.00,32.33,22.46,1.32,1.16,-5.00,-7.83,175.52,10.08,6.49,3.59,8.86,8.86,5.27,55.10,19.80,19.67,11.45,1.38,10.37,55.10,19.80,19.67,60.86,0.00,0.01,0.24,0.27,3.32,0.63,1.01,1.46,1.35,1.24,2.87,2.76,3.17,34.05,52.70,5.44,8.36,14.59,8.43,45.05,14.97,16.72,0.85,0.47
Peria Kara. Tea,,PKTEA,Tea,724.15,224.19,22.95,29.73,62.72,0.00,0.22,21.16,0.11,1.50,0.42,11.75,-3.36,-3.48,27.86,137.04,37.95,14.99,8.40,17.25,-10.85,-3.65,-58.80,-23.06,-3.03,-5.96,-1.29,57.54,-58.80,-23.06,-3.03,-5.96,14.87,23.87,7.37,3.01,25.41,27.76,14.15,14.03,4.50,-30.17,8.17,8.75,-11.21,10.63,-9.64,1.77,2.48,3.80,0.58,1608.00,15.82,-0.43,4.64,2.60
Pfizer,500680,PFIZER,Pharmaceuticals - Multinational,5223.35,23895.64,43.20,39.04,63.92,0.00,0.00,36.94,0.01,21.98,16.10,617.90,623.93,7.17,-1.23,18.76,135.07,34.61,32.94,120.52,136.38,32.56,3.25,5.01,11.63,4.98,7.79,2238.05,3.25,5.01,11.63,9.56,63.23,2.50,2.50,0.00,2486.76,1197.37,1826.17,1274.14,290.81,291.92,1236.56,1989.13,2376.26,36.14,-0.68,1.05,1.57,7.03,18.25,14.51,-2.73,19.41,158.35,150.71
Pix Transmission,500333,PIXTRANS,Miscellaneous,2518.95,3433.33,45.83,30.00,61.82,0.00,0.00,38.90,0.07,22.64,18.23,114.44,64.82,3.90,-6.80,91.63,83.99,29.75,20.15,60.91,47.57,15.19,8.05,23.67,26.68,27.14,1.27,544.89,8.05,23.67,26.68,27.14,73.80,113.37,128.00,117.79,351.97,156.97,124.51,100.87,111.34,88.39,184.48,242.50,260.15,37.02,9.04,10.80,10.87,9.42,18.75,69.69,12.88,18.38,40.53,27.45
Poly Medicure,531768,POLYMED,Healthcare,2775.30,28120.93,58.09,95.37,62.56,0.00,-3.47,160.63,0.06,23.62,19.08,294.87,179.28,9.79,-5.05,86.64,30.25,8.63,7.71,26.91,18.69,6.48,24.11,29.73,23.51,20.06,2.99,1522.47,24.15,31.93,25.00,21.08,137.43,160.72,100.74,66.96,1665.34,259.87,193.28,123.37,-9.02,-48.07,-87.69,-40.86,-17.22,28.61,20.53,17.64,17.14,15.63,17.24,26.17,21.82,16.11,87.45,74.04
Polycab India,542652,POLYCAB,Cables - Power,7208.00,108422.49,43.18,60.42,63.06,0.00,-1.96,193.23,0.02,31.33,23.17,1816.81,1283.08,0.82,-1.82,33.45,119.42,29.24,26.34,118.75,84.85,28.37,25.15,26.49,31.87,24.63,2.15,20128.82,25.46,28.07,33.04,34.40,282.50,272.42,855.71,457.73,5172.76,2291.13,1408.29,1473.34,438.27,969.11,1398.99,2415.57,3543.34,70.99,27.07,17.70,18.49,16.30,20.70,11.61,24.67,20.51,445.21,401.62
Prabhhans Inds,530361,,Trading,88.30,55.17,36.80,28.29,74.45,0.00,-0.01,5.52,0.64,24.25,20.24,1.95,1.45,1.49,-4.44,64.74,3.12,1.07,0.80,2.18,2.32,0.45,118.77,85.16,22.74,41.26,0.31,66.63,127.11,89.86,24.04,43.10,0.00,0.06,0.00,0.00,10.41,1.41,1.82,1.96,-4.61,1.98,-5.12,-5.06,-5.13,93.94,,,144.68,,9.48,74.11,21.23,16.39,0.67,0.50
Pratham EPC,,PRATHAM,Construction,230.80,409.90,25.63,30.30,72.97,0.00,-27.03,7.55,0.11,31.95,24.97,13.53,7.64,14.80,9.90,,7.62,4.91,2.71,5.66,94.32,4.04,-27.13,,,,,96.35,103.94,,,,1.99,,,,60.95,0.07,,,-13.13,-10.84,-15.29,,,-25.13,31.05,,,,,70.83,46.94,35.44,8.72,4.81
Premier Polyfilm,514354,PREMIERPOL,Plastics Products,85.16,891.99,36.11,36.16,67.37,0.00,0.00,0.00,0.00,29.23,24.46,24.67,11.68,20.85,39.31,179.30,2.36,0.75,0.56,1.97,1.12,0.47,34.78,35.79,28.70,21.40,1.01,263.80,34.78,35.79,28.70,21.40,14.15,27.78,24.53,3.72,47.11,18.22,24.25,27.66,24.32,-4.94,17.23,34.40,34.91,65.71,19.86,11.57,14.05,12.38,18.53,43.35,2.34,19.89,7.86,5.88
Prevest Denpro,543363,,Healthcare,598.05,717.84,58.09,42.75,73.60,0.00,0.00,0.00,0.00,26.79,19.98,16.79,15.71,3.16,1.97,39.24,13.99,4.03,3.04,13.43,13.09,3.12,-62.42,-58.17,,,1.07,59.46,30.76,40.07,,,1.39,1.42,,,70.24,16.62,6.58,,7.76,-2.86,6.97,17.45,,24.79,25.71,23.96,,,25.61,1.63,13.02,23.40,4.84,3.65
Pudumjee Paper,539785,PDMJEPAPER,Paper,188.30,1787.91,10.80,14.12,71.31,0.00,0.00,15.18,0.03,26.83,20.91,126.59,59.40,-2.46,5.49,265.28,13.33,3.13,2.90,10.34,6.26,1.86,23.38,40.83,22.38,,0.35,834.34,23.38,40.83,22.38,,57.96,83.07,72.40,,324.32,65.93,67.09,50.68,125.55,23.92,95.76,223.77,228.90,44.02,21.57,5.89,6.24,,15.87,141.58,12.67,16.99,29.76,27.57
Raghav Product.,539837,RPEL,Refractories / Intermediates,746.80,3428.20,38.80,110.87,62.92,0.00,0.00,7.91,0.05,22.71,17.68,30.92,25.22,6.31,3.05,102.92,6.74,1.91,1.81,5.66,5.48,1.38,38.85,,,,,164.19,41.25,,,,0.00,,,,95.44,36.06,,,11.86,-13.91,-28.31,,,29.18,27.16,,,,,19.80,25.65,19.32,8.75,8.29
Railtel Corpn.,543265,RAILTEL,Telecommunications - Service Provider,422.55,13561.25,54.32,48.12,72.84,0.00,0.00,49.02,0.03,20.25,15.24,260.98,188.25,5.94,1.23,18.74,8.13,2.26,1.52,7.67,5.87,2.12,23.57,14.79,10.94,,3.25,2902.66,23.57,14.79,10.94,,0.00,1.36,0.00,,822.93,498.45,290.21,403.41,346.67,107.40,595.85,966.51,,0.00,24.29,21.10,17.09,,12.54,36.38,30.84,13.09,72.64,48.67
Rajeshwari Cans,543285,,Packaging,319.10,334.80,28.39,192.41,61.57,0.00,0.00,9.64,0.87,15.96,14.18,1.74,1.06,-2.00,9.71,291.53,1.66,1.01,0.65,1.27,1.01,0.62,55.26,23.98,,,3.65,38.79,82.17,52.74,,,6.46,6.52,,,6.09,4.21,3.69,,0.73,-0.36,-1.72,-2.60,-2.99,66.77,20.51,10.16,,,11.14,59.63,22.68,11.90,1.06,0.68
Rajoo Engineers,522257,,Engineering,231.70,3800.16,45.23,154.86,66.40,0.00,-0.16,0.32,0.00,23.70,17.46,24.54,10.02,-0.79,-15.02,212.14,1.50,0.44,0.33,1.20,0.61,0.32,23.47,19.56,16.49,18.11,7.92,220.31,23.47,19.56,17.46,18.80,3.09,18.83,6.64,0.05,78.49,40.90,36.64,20.45,-11.16,18.43,27.02,63.33,43.23,59.58,8.99,10.00,8.52,6.93,12.66,66.94,14.30,14.67,7.24,5.34
Ram Ratna Wires,522281,RAMRAT,Mining / Minerals / Metals,573.95,2527.79,38.18,42.31,73.04,0.00,0.00,217.05,0.51,17.37,13.58,64.30,47.00,-0.48,-6.44,91.32,13.58,3.82,3.14,11.88,10.20,3.12,48.67,25.58,12.08,,1.65,3333.13,48.67,25.58,12.08,,361.13,314.41,148.00,,321.88,375.75,284.00,162.86,32.38,39.50,203.70,211.64,115.82,90.19,25.01,15.96,20.67,,13.91,18.74,18.27,16.39,16.80,16.40
Rane Brake Lin.,532987,RBL,Auto Ancillaries,954.40,737.74,31.11,15.93,70.93,0.00,0.00,3.01,0.01,20.51,15.19,45.40,33.46,0.60,-4.57,10.35,58.73,14.31,11.42,52.11,43.29,12.41,9.13,2.50,-1.40,9.39,7.89,684.03,8.99,2.02,-1.73,9.13,0.36,0.07,5.99,80.56,140.06,108.33,74.61,42.55,-2.55,23.39,13.90,83.06,129.18,54.80,15.95,5.16,5.11,5.97,13.85,28.75,8.82,13.39,11.06,8.83
Raw Edge Indust.,541634,,Mining / Minerals / Metals,39.00,39.23,20.44,140.11,74.58,0.00,1.91,21.04,0.96,3.24,-2.66,0.28,0.02,-0.28,-1.52,-4.53,0.28,0.05,-0.13,-0.59,0.02,-0.74,-14.63,,,,,45.92,-14.37,,,,24.66,16.79,12.29,,16.37,19.35,8.37,10.08,2.10,3.26,7.13,1.24,-9.33,55.21,0.80,-5.54,-0.87,,-0.46,118.18,3.52,-1.56,0.05,-0.13
RBM Infracon,,RBMINFRA,Construction,709.25,716.56,35.07,38.01,60.53,0.00,-11.92,10.72,0.09,28.63,19.66,18.85,2.21,-4.80,-15.97,25.41,19.61,6.54,3.26,10.98,2.62,1.60,34.97,,,,,194.03,117.85,,,,8.13,,,,117.59,10.37,,,-53.01,-6.39,-59.60,-61.81,,-19.90,49.65,,,,,401.81,55.94,20.71,6.61,3.29
Relic Tech.,511712,,Finance & Investments,21.70,7.81,17.16,,66.22,0.00,0.00,0.31,0.06,-15.26,-16.29,-0.70,0.23,-1.14,24.00,28.86,-1.94,0.39,-0.31,-2.50,0.64,-0.14,,,,,,1.84,,,,,0.02,0.38,0.81,1.05,4.40,4.34,3.79,2.71,-0.33,-0.09,-0.29,-0.67,1.10,0.00,5.67,-6.38,9.12,8.14,0.78,-204.35,37.31,-1.42,0.14,-0.11
Remi Edelstahl,513043,,Steel - Medium / Small,103.60,113.78,28.39,36.82,74.69,0.00,0.00,29.00,0.65,5.53,3.24,3.09,0.15,-0.96,2.19,27.37,2.81,1.15,0.18,1.27,0.14,0.53,94.13,133.56,12.11,10.23,0.28,123.60,94.13,133.56,12.11,10.62,35.77,43.93,33.71,65.28,53.03,43.95,50.17,32.99,-4.91,7.81,7.62,19.12,9.94,69.73,12.57,-1.23,8.94,-0.09,1.19,1203.57,10.31,1.72,1.26,0.20
Remsons Ind,530919,REMSONSIND,Auto Ancillaries,141.63,493.99,31.11,45.20,65.30,0.00,0.00,66.48,0.62,13.56,12.32,11.31,7.76,-7.05,-14.93,-13.22,3.47,1.04,0.65,2.54,2.71,0.77,20.81,14.81,40.40,18.01,2.32,269.10,29.10,19.47,43.75,20.39,57.29,26.76,27.24,22.13,77.79,31.14,24.80,19.88,7.56,5.86,10.14,18.32,23.92,63.96,9.55,11.46,11.69,9.35,15.05,35.27,7.18,13.82,3.64,2.27
Riba Textiles,531952,,Textiles - Products,102.95,99.35,29.32,12.03,61.85,0.00,0.00,70.76,0.76,10.20,9.28,8.26,7.40,-2.04,8.19,27.38,8.56,3.05,1.17,8.20,7.67,2.77,10.67,-0.69,8.29,25.78,-17.43,268.21,10.67,-0.69,8.29,25.78,57.91,41.65,21.93,25.24,68.56,42.22,24.06,-6.45,10.90,6.91,14.36,20.83,15.98,62.88,9.16,4.63,11.98,10.39,9.14,-1.31,10.32,8.61,2.94,1.13
Ritco Logistics,542383,RITCO,Miscellaneous,399.55,1131.64,28.90,29.15,63.12,0.00,-9.92,232.77,0.77,17.01,20.42,38.82,24.71,4.00,-3.30,49.90,15.22,4.04,3.78,13.93,10.10,3.48,77.99,22.87,37.53,28.11,1.27,1022.12,77.99,22.87,49.82,36.03,137.12,109.89,52.81,48.27,368.75,192.37,130.11,67.99,-23.56,-9.65,-58.63,-65.07,-119.61,0.00,25.45,18.03,16.27,13.95,14.46,35.36,22.58,17.84,11.45,9.26
Rossari Biotech,543213,ROSSARI,Chemicals,799.50,4425.73,35.13,31.90,68.27,0.00,-0.05,160.79,0.14,18.10,13.18,138.75,107.26,0.32,-2.56,-1.96,25.11,6.39,6.32,23.66,19.45,5.97,15.12,-25.82,,,1.38,1924.49,17.52,23.05,,,0.00,7.54,,,559.41,204.53,41.31,,-82.53,120.37,30.88,3.70,,70.66,37.16,28.81,,,15.95,18.76,13.89,13.63,35.33,34.90
Rossell India,533168,ROSSELLIND,Tea,80.68,503.67,22.95,35.20,74.80,0.00,0.00,194.02,0.65,6.38,4.50,13.87,27.65,5.98,-11.15,-37.79,3.68,0.64,-3.95,3.38,7.33,0.34,-28.19,,28.21,-3.22,,371.36,-27.55,,28.53,-2.96,177.44,,81.13,57.70,190.17,120.40,,28.60,-10.20,0.34,23.07,,,33.19,4.39,,12.26,9.98,,-39.57,4.82,8.20,2.43,-14.89
S & S Power Swit,517273,S&SPOWER,Electric Equipment,395.75,488.42,67.07,101.54,74.99,0.00,0.02,25.38,0.35,19.78,,6.06,2.11,-13.16,-6.00,120.41,6.33,3.02,-1.95,4.66,3.95,0.73,56.29,25.31,45.43,1.75,4.01,180.25,56.29,25.31,45.43,1.75,21.45,29.93,19.21,18.36,39.62,1.13,23.16,12.43,3.96,-2.27,-2.54,14.57,14.30,65.53,6.61,9.12,9.02,5.93,,86.84,14.45,,3.84,-2.18
Sagardeep Alloys,,SAGARDEEP,Mining / Minerals / Metals,29.58,50.46,38.18,56.07,73.62,0.00,0.00,12.24,0.42,5.39,2.68,0.90,0.54,6.33,13.03,-14.14,0.53,0.21,0.13,0.44,0.32,0.19,71.00,-15.35,15.76,-1.74,-3.64,108.49,71.00,-15.39,15.71,1.29,6.59,9.63,9.34,14.80,21.60,14.56,19.60,21.78,1.20,2.68,1.95,2.96,8.18,94.40,11.90,12.42,3.41,-5.13,1.93,66.67,31.63,2.67,0.36,0.23
Saksoft,590051,SAKSOFT,Computers - Software - Medium / Small,218.40,2894.92,44.25,29.69,66.64,0.00,0.00,53.20,0.09,27.71,21.12,97.49,81.98,1.15,-7.92,-15.44,7.35,1.97,1.93,7.25,6.21,1.91,27.83,21.10,27.75,20.11,1.39,804.04,28.35,21.39,27.97,20.54,26.54,40.96,47.20,32.29,208.91,105.10,77.07,45.62,114.97,76.37,241.93,347.86,397.92,0.00,25.45,16.29,16.63,13.00,21.27,2.32,10.50,21.83,26.16,25.59
Sambhaav Media,511630,SAMBHAAV,Entertainment / Electronic Media Software,8.70,166.27,12.33,58.59,62.93,0.00,0.00,8.21,0.10,2.84,0.39,2.32,-2.60,6.10,24.82,114.81,0.13,0.00,0.00,0.03,-0.14,-0.01,29.87,-33.92,-30.11,-21.32,-1.73,43.33,29.87,-33.92,-28.50,-19.18,20.72,17.65,19.05,19.59,23.79,34.53,22.07,16.12,8.15,-1.52,14.39,24.41,16.87,39.86,-1.71,-1.22,2.78,1.04,-0.90,171.21,13.58,-1.00,-0.13,-0.15
Sandhar Tech,541163,SANDHAR,Auto Ancillaries,512.50,3084.77,31.11,23.70,70.38,0.00,0.00,730.75,0.68,12.07,11.36,130.31,73.56,-0.82,-13.25,5.71,21.63,6.65,4.83,18.24,12.12,4.54,24.36,2.91,13.09,,8.14,3704.08,24.36,2.91,15.75,,310.34,267.93,460.34,,333.03,204.46,176.27,60.40,41.73,57.74,-147.88,53.99,79.01,61.03,23.63,8.55,11.81,,8.32,40.42,15.71,8.82,40.02,29.06
Sangani Hospital,,SANGANI,Healthcare,75.80,104.43,58.09,30.99,73.22,0.00,0.00,0.09,0.00,14.15,10.49,3.37,1.53,8.13,13.73,93.86,2.45,1.24,1.20,1.96,1.53,0.75,,,,,,17.68,,,,,,,,,21.44,,,,2.28,-9.44,-7.29,,,38.15,,,,,,103.01,-0.79,,1.71,1.66
Sanrhea Tech.,514280,,Textiles - Processing,167.20,83.60,29.50,14.54,71.52,0.00,0.00,10.51,0.45,29.83,27.22,5.75,2.54,-1.30,-5.00,61.08,11.50,2.40,1.92,10.40,5.08,2.06,25.80,28.61,20.01,22.60,0.40,70.29,37.97,35.94,29.10,27.61,11.65,11.03,10.13,10.80,22.08,13.20,11.43,9.63,0.92,2.99,6.36,8.60,8.72,61.14,20.42,8.18,14.49,9.45,22.67,84.89,7.30,27.07,1.20,0.96
Saraswati Commer,512020,,Finance & Investments,19337.50,1991.62,23.67,11.61,72.32,0.00,0.00,5.10,0.01,21.84,18.49,171.47,11.66,8.74,-9.92,475.67,1664.92,614.91,509.27,1008.93,113.21,231.09,67.89,72.20,,,0.16,216.66,69.49,73.18,53.31,119.51,4.88,0.48,8.00,40.90,-13.81,4.96,13.64,23.52,32.98,26.94,110.12,87.63,65.94,0.00,66.05,69.40,42.51,19.22,11.30,337.31,311.51,13.48,63.33,52.45
Sarda Energy,504614,SARDAEN,Steel - Medium / Small,481.15,16954.82,28.39,28.35,73.16,0.00,0.52,2874.56,0.48,15.28,14.11,604.15,603.98,0.60,0.65,91.58,17.19,5.55,5.64,14.84,17.09,3.99,12.07,21.24,26.32,19.66,1.37,3899.51,11.22,20.69,25.92,19.45,1713.55,1395.32,1362.84,1736.55,2367.93,900.55,595.26,524.11,487.20,485.19,1616.38,1485.34,1690.14,62.23,20.72,10.73,15.23,9.29,18.19,7.45,-3.42,20.28,203.49,198.23
Savera Industrie,512634,,Hotels,168.00,200.42,38.46,17.60,62.80,0.00,0.00,4.35,0.05,16.53,13.06,12.01,12.47,-1.67,7.83,15.74,10.07,3.97,2.24,8.64,10.45,2.52,66.84,9.01,13.02,22.84,1.95,74.99,66.84,9.01,13.02,22.84,5.08,3.31,13.06,26.28,15.04,4.52,-0.71,-4.76,5.63,19.94,30.07,35.06,52.96,17.17,54.35,0.08,0.82,2.54,6.41,16.34,11.48,9.84,4.74,2.67
Sayaji Hot. Pune,544090,,Hotels,820.05,249.84,38.46,14.40,74.95,2.28,0.00,0.34,0.00,35.53,29.22,17.35,13.81,3.16,-1.44,,56.95,13.75,11.98,54.42,,10.63,,,,,,73.86,,,,,,,,,1.16,,,,7.38,8.96,,,,0.00,,,,,,18.92,12.15,,4.19,3.65
