Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Indl.& Prud.Inv.,501298,,Finance & Investments,6372.45,1067.92,23.67,20.20,68.17,0.00,0.00,0.00,0.00,7.23,7.12,52.86,44.72,2.63,-13.15,45.08,315.43,108.72,63.13,295.14,266.86,93.57,23.39,22.18,13.66,37.48,0.95,7.36,23.39,21.19,13.00,37.28,0.00,0.00,0.00,0.00,-2.76,1.00,3.17,1.73,13.79,10.75,28.70,47.84,57.95,0.00,-9.49,1.16,-4.40,8.13,6.76,8.03,0.55,6.97,18.22,10.58
Indokem,504092,,Dyes And Pigments,98.95,275.95,30.74,,68.71,0.00,0.00,22.80,0.40,-3.80,-10.34,-2.59,-1.32,-6.09,22.65,-0.40,-0.91,0.00,-0.49,-2.22,-0.54,-1.91,,,,,,160.57,,,,,,,,,20.42,,,,2.71,-1.15,,,,64.19,,,,,,46.75,-3.59,,-0.01,-1.39
Indong Tea Co,543769,,Tea,29.05,43.58,22.95,,64.67,0.00,0.00,10.55,0.20,-1.39,-3.62,-0.23,1.13,-2.52,7.59,29.11,-0.15,2.10,-2.25,-0.91,0.75,1.35,,,,,,22.88,,,,,18.42,,,,6.03,0.17,,,-5.79,-7.43,-12.48,-13.19,,10.74,-2.60,,,,,-120.91,10.58,-0.86,3.15,-3.38
Indus Finance,531841,,Finance & Investments,41.71,38.62,23.67,26.09,74.79,0.00,0.18,23.20,0.93,5.71,3.49,1.18,0.39,-9.56,-33.12,109.60,1.27,0.87,0.05,0.81,0.42,0.21,14.47,30.26,40.33,-5.71,0.86,5.41,14.47,30.26,40.33,-5.71,5.99,13.29,13.71,29.33,0.25,1.97,1.57,-0.03,11.22,-0.34,8.45,8.30,8.52,0.00,4.27,10.61,7.92,-1.06,-2.15,1580.00,358.47,-3.75,0.81,0.05
InfoBeans Tech.,543644,INFOBEAN,Computers - Software - Medium / Small,439.75,1071.62,44.25,30.44,73.98,0.00,0.00,24.96,0.08,11.69,7.93,35.21,35.96,3.91,-1.89,-0.22,14.47,5.20,3.18,9.25,14.83,1.73,-15.71,3.84,4.08,-4.59,7.46,381.27,-15.38,4.08,8.92,11.98,38.51,0.19,4.15,1.09,207.55,67.56,60.13,32.96,41.65,71.95,188.40,217.76,237.60,0.00,26.90,26.11,23.66,25.51,16.46,61.81,2.46,15.26,12.66,7.75
Informed Techn.,504810,,Computers - Software - Medium / Small,122.05,50.89,44.25,13.05,74.99,0.00,0.00,0.19,0.01,14.44,15.48,3.90,-0.54,6.59,17.36,50.49,9.35,2.71,2.33,6.40,-1.30,0.24,27.62,38.36,38.02,10.31,0.34,2.59,27.62,38.36,38.02,10.31,0.31,0.22,0.14,0.22,12.94,0.93,0.63,0.48,-1.40,-2.55,-3.98,-6.32,-9.55,0.00,-2.13,3.30,-2.52,-0.76,3.57,257.80,10.68,5.48,1.13,0.97
Inox Wind Energy,543297,IWEL,Power Generation And Supply,10026.05,12078.96,33.51,211.24,69.51,0.00,0.00,1475.23,0.50,4.15,-4.66,157.44,-705.82,-4.39,-9.23,61.96,39.14,21.30,8.54,-56.04,-330.43,-34.82,18.06,,,,,2405.29,17.23,,,,1306.22,,,,3102.79,964.90,,,-881.87,-1481.44,-2925.95,,,-0.38,34.59,,,,,119.09,112.06,-15.23,84.45,41.58
Insolation Ener,543620,,Electric Equipment,3573.80,7444.94,67.07,73.20,66.22,0.00,-3.76,68.81,0.41,47.81,68.51,101.71,10.68,-2.34,-10.13,308.78,48.82,29.41,19.41,26.63,5.13,7.22,,,,,,1070.80,,,,,,,,,141.39,,,,44.13,-30.39,19.40,,,82.35,,,,,,381.58,142.20,,61.27,40.44
Intl. Travel Hse,500213,,Travel Agencies,714.70,571.37,31.64,22.66,61.69,0.00,0.00,1.22,0.01,23.00,16.77,25.21,28.39,5.49,5.12,23.37,31.53,9.29,8.39,28.14,35.51,7.04,35.54,60.21,11.41,2.73,0.38,229.05,35.54,60.21,11.41,2.73,2.07,0.00,0.00,0.01,116.63,36.81,122.68,79.08,46.41,-1.98,24.92,77.40,46.68,0.00,54.10,0.87,1.08,2.38,-2.26,-19.79,13.79,11.53,7.43,6.71
ISGEC Heavy,533033,ISGEC,Engineering - Turnkey Services,1451.25,10670.97,35.52,36.64,62.43,0.00,0.00,720.68,0.27,12.31,9.98,301.51,205.54,-2.89,-3.13,50.00,39.61,12.59,8.90,33.14,26.72,8.13,-0.86,12.47,1.43,21.82,2.94,6544.06,-0.86,12.47,1.43,21.83,982.59,303.70,355.59,537.31,1565.38,1392.39,1216.73,478.91,493.29,51.37,409.99,71.83,-289.03,59.08,4.66,4.26,6.83,13.99,9.11,12.21,0.70,8.13,95.70,67.17
